Model,Threshold,TN,FP,FN,TP,Precision,Recall,F1,Kappa
Random Forest,0.3,225,411,36,328,0.4438430311231394,0.9010989010989011,0.5947416137805984,0.2088607594936709
Voting Ensemble (5-model avg),0.4,291,345,72,292,0.45839874411302983,0.8021978021978022,0.5834165834165834,0.22384526043062625
Neural Network (ANN),0.3,226,410,47,317,0.4360385144429161,0.8708791208791209,0.5811182401466545,0.1864621606995358
Naive Bayes,0.3,93,543,22,342,0.3864406779661017,0.9395604395604396,0.5476381104883907,0.06568329144066676
Logistic Regression,0.3,97,539,28,336,0.384,0.9230769230769231,0.5423728813559322,0.05813953488372092
KNN (k=5),0.1,36,600,11,353,0.3704092339979014,0.9697802197802198,0.5360668185269551,0.01960155066622149
