Model,Threshold,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1,Kappa,TN,FP,FN,TP
KNN (k=5),0.5,0.6397287813493686,0.06981581037892627,0.9856701030927835,0.5254921815759171,0.3684210526315789,0.05223880597014925,0.0915032679738562,0.08837545165408156,9554,12,127,7
Neural Network (ANN),0.5,0.9334763044489032,0.22233649160034605,0.9861855670103092,0.5110372244984569,0.5,0.022388059701492536,0.04285714285714286,0.0417224519165551,9563,3,131,3
Random Forest,0.5,0.9574090138893656,0.21737877941899608,0.9861855670103092,0.5036790748328189,0.5,0.007462686567164179,0.014705882352941176,0.014305387877427522,9565,1,133,1
Logistic Regression,0.5,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.5,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Voting Ensemble (5-model avg),0.5,0.9556194045453269,0.23099459038352288,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
