model_version,model,threshold,f1,pr_auc,kappa,recall,precision
Early baseline (LogReg default),Logistic Regression,0.5,0.07960199004975124,0.39537847390396597,0.011583176611386636,0.04395604395604396,0.42105263157894735
Corrected baseline (LogReg tuned),Logistic Regression,0.3,0.5423728813559322,0.39537847390396597,0.05813953488372092,0.9230769230769231,0.384
Final champion (threshold-tuned),Random Forest,0.3,0.5947416137805984,0.55044699572735,0.2088607594936709,0.9010989010989011,0.4438430311231394
