year_month,complaint_count,positive_rate,positive_rate_pct,year_month_label
2020-09-01,128,0.015625,1.562,2020-09
2020-10-01,159,0.025157232704402517,2.516,2020-10
2020-11-01,139,0.03597122302158273,3.597,2020-11
2020-12-01,173,0.017341040462427744,1.734,2020-12
2021-01-01,153,0.058823529411764705,5.882,2021-01
2021-02-01,102,0.0784313725490196,7.843,2021-02
2021-03-01,128,0.0234375,2.344,2021-03
2021-04-01,138,0.014492753623188406,1.449,2021-04
2021-05-01,159,0.018867924528301886,1.887,2021-05
2021-06-01,181,0.016574585635359115,1.657,2021-06
2021-07-01,164,0.042682926829268296,4.268,2021-07
2021-08-01,142,0.02112676056338028,2.113,2021-08
2021-09-01,136,0.022058823529411766,2.206,2021-09
2021-10-01,140,0.05714285714285714,5.714,2021-10
2021-11-01,143,0.055944055944055944,5.594,2021-11
2021-12-01,158,0.0189873417721519,1.899,2021-12
2022-01-01,181,0.011049723756906077,1.105,2022-01
2022-02-01,202,0.01485148514851485,1.485,2022-02
2022-03-01,215,0.04186046511627907,4.186,2022-03
2022-04-01,236,0.0423728813559322,4.237,2022-04
2022-05-01,208,0.014423076923076924,1.442,2022-05
2022-06-01,193,0.031088082901554404,3.109,2022-06
2022-07-01,195,0.015384615384615385,1.538,2022-07
2022-08-01,235,0.02553191489361702,2.553,2022-08
2022-09-01,222,0.02702702702702703,2.703,2022-09
2022-10-01,272,0.01838235294117647,1.838,2022-10
2022-11-01,289,0.01730103806228374,1.73,2022-11
2022-12-01,266,0.018796992481203006,1.88,2022-12
2023-01-01,298,0.020134228187919462,2.013,2023-01
2023-02-01,291,0.024054982817869417,2.405,2023-02
2023-03-01,381,0.02099737532808399,2.1,2023-03
2023-04-01,316,0.0189873417721519,1.899,2023-04
2023-05-01,351,0.008547008547008548,0.855,2023-05
2023-06-01,355,0.022535211267605635,2.254,2023-06
2023-07-01,356,0.008426966292134831,0.843,2023-07
2023-08-01,407,0.009828009828009828,0.983,2023-08
2023-09-01,388,0.015463917525773196,1.546,2023-09
2023-10-01,406,0.017241379310344827,1.724,2023-10
2023-11-01,386,0.015544041450777202,1.554,2023-11
2023-12-01,413,0.007263922518159807,0.726,2023-12
2024-01-01,536,0.009328358208955223,0.933,2024-01
2024-02-01,534,0.0056179775280898875,0.562,2024-02
2024-03-01,606,0.018151815181518153,1.815,2024-03
2024-04-01,616,0.008116883116883116,0.812,2024-04
2024-05-01,738,0.0040650406504065045,0.407,2024-05
2024-06-01,707,0.008486562942008486,0.849,2024-06
2024-07-01,769,0.010403120936280884,1.04,2024-07
2024-08-01,930,0.004301075268817204,0.43,2024-08
2024-09-01,892,0.007847533632286996,0.785,2024-09
2024-10-01,1013,0.0019743336623889436,0.197,2024-10
2024-11-01,1009,0.004955401387512388,0.496,2024-11
2024-12-01,1000,0.004,0.4,2024-12
2025-01-01,1600,0.004375,0.438,2025-01
2025-02-01,1160,0.00603448275862069,0.603,2025-02
2025-03-01,1339,0.00597460791635549,0.597,2025-03
2025-04-01,1381,0.005792903692976104,0.579,2025-04
2025-05-01,1411,0.004961020552799433,0.496,2025-05
2025-06-01,1389,0.005759539236861051,0.576,2025-06
2025-07-01,1583,0.005685407454200884,0.569,2025-07
2025-08-01,1661,0.005418422636965683,0.542,2025-08
2025-09-01,1743,0.0034423407917383822,0.344,2025-09
2025-10-01,1875,0.004266666666666667,0.427,2025-10
2025-11-01,1695,0.0035398230088495575,0.354,2025-11
2025-12-01,1762,0.007945516458569807,0.795,2025-12
2026-01-01,1827,0.003284072249589491,0.328,2026-01
2026-02-01,1593,0.005649717514124294,0.565,2026-02
2026-03-01,1370,0.0036496350364963502,0.365,2026-03
2026-04-01,415,0.0024096385542168677,0.241,2026-04
