Model,Threshold,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1,Kappa,TN,FP,FN,TP
KNN (k=5),0.5,0.5428156748911466,0.3875449603463445,0.451,0.5372606952795632,0.3853779429987608,0.8543956043956044,0.5311699402220325,0.05913241383092471,140,496,53,311
Random Forest,0.5,0.7104132110028336,0.55044699572735,0.645,0.5199996544336166,0.6285714285714286,0.06043956043956044,0.11027568922305764,0.049582351681302206,623,13,342,22
Naive Bayes,0.5,0.556608093164697,0.40244029033004464,0.633,0.507040915059783,0.45714285714285713,0.04395604395604396,0.08020050125313283,0.017455557935318056,617,19,348,16
Logistic Regression,0.5,0.5563445987974289,0.39537847390396597,0.63,0.5046824244937452,0.42105263157894735,0.04395604395604396,0.07960199004975124,0.011583176611386636,614,22,348,16
Neural Network (ANN),0.5,0.6108015412260696,0.4262785855344272,0.632,0.50155504872486,0.4,0.02197802197802198,0.041666666666666664,0.0038977912516242608,624,12,356,8
