Model,Threshold,PR-AUC,ROC-AUC,F1,Precision,Recall,Kappa,Predicted Positive Rate,Alerts per 1000 cases,Estimated true positives per 1000
Random Forest,0.1,0.21737877941899608,0.9574090138893656,0.2992957746478873,0.195852534562212,0.6343283582089553,0.28418434172252616,0.04474226804123711,44.7,8.8
Voting Ensemble (5-model avg),0.1,0.23099459038352288,0.9556194045453269,0.29906542056074764,0.21768707482993196,0.47761194029850745,0.2855052337355455,0.030309278350515462,30.3,6.6
Neural Network (ANN),0.2,0.22233649160034605,0.9334763044489032,0.27790432801822323,0.2,0.4552238805970149,0.2637720995268834,0.031443298969072164,31.4,6.3
